session_id,user_hash,session_start_kst,session_end_kst,date_kst,week_start_kst,month_kst,brand,request_count,matched_count,unmatched_count,first_query,last_query,final_matched,final_faq_id,explicit_handoff_observed,one_turn_matched_end_proxy,faq_end_proxy,duration_minutes,interpretation_limit
S0011,9f1c2b6bc3075d40,2026-05-23T08:39:00.09,2026-05-23T08:39:25.755,2026-05-23,2026-05-18,2026-05,laurastar,2,1,1,물통분실구매,iggi 급수물통 구매,true,iggi-parts-price,false,false,true,0.4,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0012,88ef6990438397ed,2026-05-23T23:42:57.403,2026-05-23T23:44:19.049,2026-05-23,2026-05-18,2026-05,laurastar,3,0,3,롯데 본점에도 매장이 있어?,매장 좀 알려줘,false,,false,false,false,1.4,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0013,c2784221dedaca25,2026-05-24T04:09:23.65,2026-05-24T04:10:27.995,2026-05-24,2026-05-18,2026-05,laurastar,4,2,2,제품사용중인데 최근들어 다림질이 거의 안되서 연락드려요,https://talk.kakaocdn.net/dna/ubWVD/dJMcbaXSMw9/xruiTS4ocuYRvQkp9xt92X/i_e8dd1fe695bd.jpg?credential=zf3biCPbmWRjbqf40YGePFLewdou7TIK&expires=1874203827&signature=IWFs%2F1nVZltoUJs8Jp35FtRGrXk%3D,true,smart-model-differences,false,false,true,1.1,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0014,9f1c2b6bc3075d40,2026-05-26T02:48:58.444,2026-05-26T02:54:17.13,2026-05-26,2026-05-25,2026-05,laurastar,2,0,2,따로 구매는 하지못하는거일까요? 제품 사용을 하지못하고잇어서요,감사합니다~ :),false,,false,false,false,5.3,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0015,629ec2d7c9814dbc,2026-05-26T20:32:39.317,2026-05-26T20:40:47.47,2026-05-26,2026-05-25,2026-05,woods,5,3,2,안녕하세요,AS 수거와 검수 기간은 얼마나 걸리나요?,true,as-pickup-time,false,false,true,8.1,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0016,629ec2d7c9814dbc,2026-05-27T09:11:20.076,2026-05-27T09:11:23.167,2026-05-27,2026-05-25,2026-05,woods,2,1,1,,안녕하세요,true,base-greeting,false,false,true,0.1,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0017,61b49f8be408f215,2026-05-27T10:08:29.076,2026-05-27T10:08:29.076,2026-05-27,2026-05-25,2026-05,woods,1,0,1,문의,문의,false,,false,false,false,0,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0018,22c63e5c3574ec51,2026-05-27T13:37:20.699,2026-05-27T13:38:09.971,2026-05-27,2026-05-25,2026-05,woods,3,2,1,공구로방금 현금구매를했는데 필터는 같이 못해서 따로구매가힘들까요. 취소하고 구매가힘들것같아서요,공구가로요 별주부님 인스타로구매했어요,false,,false,false,false,0.8,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0019,2e575529e6bc0a33,2026-05-28T03:42:20.49,2026-05-28T03:42:30.126,2026-05-28,2026-05-25,2026-05,laurastar,2,1,1,다리미판은 따로 배송 되나요?,정품 등록은 어디서 하나요?,true,common-product-registration,false,false,true,0.2,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0020,bf1c6ba77c9f462d,2026-05-28T10:08:33.408,2026-05-28T10:08:33.408,2026-05-28,2026-05-25,2026-05,woods,1,0,1,안녕하세요. 주문번호2026052677850731 관련해서 문의드립니다.,안녕하세요. 주문번호2026052677850731 관련해서 문의드립니다.,false,,false,false,false,0,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0021,bf42aee9f86547c9,2026-05-28T11:19:14.942,2026-05-28T11:24:36.866,2026-05-28,2026-05-25,2026-05,woods,6,3,3,,AS접수는 어디에서 하나요?,true,woods-AS접수는-어디에서-하나요,false,false,true,5.4,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0022,629ec2d7c9814dbc,2026-05-28T11:28:08.892,2026-05-28T11:29:06.409,2026-05-28,2026-05-25,2026-05,laurastar,7,5,2,.,SW42FW 모델별 스펙 이미지를 볼 수 있나요?,true,woods-모델별-스펙-이미지,false,false,true,1,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0023,0aa8747fb467b81c,2026-05-28T15:00:12.615,2026-05-28T15:00:12.615,2026-05-28,2026-05-25,2026-05,laurastar,1,0,1,as 문의,as 문의,false,,false,false,false,0,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0024,9f112389a2242e57,2026-05-28T17:21:54.848,2026-05-28T17:21:54.848,2026-05-28,2026-05-25,2026-05,woods,1,1,0,https://talk.kakaocdn.net/dna/cpiPLk/dJMcbgKzP2u/vkGOiyNM3qJ3qsLBxqeD9q/talkv_high.mp4?credential=zf3biCPbmWRjbqf40YGePFLewdou7TIK&expires=1874471101&signature=UIT%2B%2B5zWdwwt%2B%2BhsX%2FXZsbuQoAY%3D,https://talk.kakaocdn.net/dna/cpiPLk/dJMcbgKzP2u/vkGOiyNM3qJ3qsLBxqeD9q/talkv_high.mp4?credential=zf3biCPbmWRjbqf40YGePFLewdou7TIK&expires=1874471101&signature=UIT%2B%2B5zWdwwt%2B%2BhsX%2FXZsbuQoAY%3D,true,woods-사용-모드별로-어떻게-다른가요,false,true,true,0,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0025,18d38a601918e0a5,2026-05-29T13:59:27.8,2026-05-29T13:59:27.8,2026-05-29,2026-05-25,2026-05,laurastar,1,1,0,스팀이 안나와요,스팀이 안나와요,true,lift-no-steam-noisy-water-light,false,true,true,0,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0026,2d895f2372993858,2026-05-30T16:57:34.863,2026-05-30T17:17:25.202,2026-05-30,2026-05-25,2026-05,laurastar,13,9,4,스팀으로 다림질했는데 원단이 쪼그라들었어요,사용 설명서,true,common-manual-video,false,false,true,19.8,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0027,3695d75866ea581c,2026-06-01T11:41:09.635,2026-06-01T11:41:09.635,2026-06-01,2026-06-01,2026-06,woods,1,0,1,제품문의 상담,제품문의 상담,false,,false,false,false,0,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0028,dbd26f58c6a7aa96,2026-06-01T12:11:41.215,2026-06-01T12:11:41.215,2026-06-01,2026-06-01,2026-06,laurastar,1,1,0,https://talk.kakaocdn.net/dna/dbjFon/dJMcaExYh01/RV3XLBZQcfstNfNlTEJ0OO/i_36c97ff4880c.png?credential=zf3biCPbmWRjbqf40YGePFLewdou7TIK&expires=1874891500&signature=oGrBTn5Z9iXPXx5cI1e%2FT27MApk%3D,https://talk.kakaocdn.net/dna/dbjFon/dJMcaExYh01/RV3XLBZQcfstNfNlTEJ0OO/i_36c97ff4880c.png?credential=zf3biCPbmWRjbqf40YGePFLewdou7TIK&expires=1874891500&signature=oGrBTn5Z9iXPXx5cI1e%2FT27MApk%3D,true,smart-model-differences,false,true,true,0,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0029,086bc0d42e3d1691,2026-06-01T19:59:27.598,2026-06-01T19:59:27.598,2026-06-01,2026-06-01,2026-06,woods,1,1,0,제습기,제습기,true,woods-저온제습기란-무엇인가요,false,true,true,0,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0030,73450680ba0b96a6,2026-06-02T10:07:29.676,2026-06-02T10:08:06.237,2026-06-02,2026-06-01,2026-06,woods,2,2,0,제습기,필터는 어디에서 구매하나요?,true,woods-필터는-어디에서-구매하나요,false,false,true,0.6,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0031,d27091c1fa3b2ba8,2026-06-02T10:21:27.299,2026-06-02T10:26:03.84,2026-06-02,2026-06-01,2026-06,woods,10,6,4,,SW22FW 작동이 안돼요,true,woods-작동이-안돼요,false,false,true,4.6,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0032,b021ee4a63d7f299,2026-06-02T13:09:28.669,2026-06-02T13:18:59.89,2026-06-02,2026-06-01,2026-06,woods,12,11,1,,WCD4PRO 어떤 필터를 사용하나요?,true,woods-어떤-필터를-사용하나요,false,false,true,9.5,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0033,749c693e200c8df6,2026-06-02T13:30:03.78,2026-06-02T13:31:40.265,2026-06-02,2026-06-01,2026-06,laurastar,2,2,0,로라스타 리프트와 리프트 엑스트라 차이점 알려주세요,"Lift , lift Xtra중 고민하고 있습니다. 보통 가정집에사 가장 많이 사용하는 모델이 어떤건가요",true,lift-model-differences,false,false,true,1.6,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0034,f1d6be3caadd3ee9,2026-06-02T13:34:14.962,2026-06-02T13:34:27.397,2026-06-02,2026-06-01,2026-06,laurastar,2,2,0,코드 선이 자동으로 들어가지 않아요,사용 설명서,true,common-manual-video,false,false,true,0.2,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0035,091fa071d308c010,2026-06-02T14:04:05.918,2026-06-02T14:04:05.918,2026-06-02,2026-06-01,2026-06,laurastar,1,1,0,로라스타 핸디스티머 미기 스팀 살균 의류관리기를 사용하고 있는데 급수 넣는 부분이 열리지가 않아서 A/S하려고 합니다,로라스타 핸디스티머 미기 스팀 살균 의류관리기를 사용하고 있는데 급수 넣는 부분이 열리지가 않아서 A/S하려고 합니다,true,iggi-cap-stuck,false,true,true,0,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0036,00c5e381b724ff8f,2026-06-02T14:43:37.793,2026-06-02T14:48:41.578,2026-06-02,2026-06-01,2026-06,woods,18,16,2,소음,필터 교체,false,,false,false,false,5.1,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0037,d27091c1fa3b2ba8,2026-06-02T14:45:02.715,2026-06-02T14:48:35.952,2026-06-02,2026-06-01,2026-06,laurastar,4,2,2,,물샘증상,false,,false,false,false,3.6,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0038,b021ee4a63d7f299,2026-06-02T14:49:20.149,2026-06-02T14:51:50.239,2026-06-02,2026-06-01,2026-06,laurastar,9,3,6,,다리미판불량,false,,false,false,false,2.5,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0039,d27091c1fa3b2ba8,2026-06-02T15:21:09.664,2026-06-02T15:23:58.408,2026-06-02,2026-06-01,2026-06,laurastar,5,2,3,스팀분사,SW30FW PRO 소음이 커요,true,woods-소음이-커요,false,false,true,2.8,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0040,5a7fcada280e0fa4,2026-06-02T15:43:33.178,2026-06-02T15:43:33.178,2026-06-02,2026-06-01,2026-06,laurastar,1,0,1,스마트사용중인데 녹물이나와요,스마트사용중인데 녹물이나와요,false,,false,false,false,0,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0041,eb7da19d811fbcc3,2026-06-02T17:59:43.184,2026-06-02T17:59:43.184,2026-06-02,2026-06-01,2026-06,woods,1,1,0,안녕하세요 ! 저희 프롬졸리 채널에서 우즈 제습기 공구 진행하고싶어서 연락드렸습니다 ! 공구 담당자님 연결가능할까요?,안녕하세요 ! 저희 프롬졸리 채널에서 우즈 제습기 공구 진행하고싶어서 연락드렸습니다 ! 공구 담당자님 연결가능할까요?,true,woods-저온제습기란-무엇인가요,false,true,true,0,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0042,06ee150abb59b832,2026-06-02T19:15:29.343,2026-06-02T19:15:29.343,2026-06-02,2026-06-01,2026-06,laurastar,1,1,0,다리미판커버 어디서 구입가능한가요?,다리미판커버 어디서 구입가능한가요?,true,board-cover-compatibility,false,true,true,0,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0043,ed894e5ebf8617a1,2026-06-03T16:30:46.732,2026-06-03T16:58:53.758,2026-06-03,2026-06-01,2026-06,woods,2,0,2,네 확인되면 꼭 알려주세요~~,"제습기 제품등록을 하려고 하는데
주소창에 주소를 입력할수 없습니다",false,,false,false,false,28.1,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0044,ed894e5ebf8617a1,2026-06-04T10:19:20.194,2026-06-04T10:19:20.194,2026-06-04,2026-06-01,2026-06,woods,1,0,1,넵,넵,false,,false,false,false,0,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0045,6231a540446acf59,2026-06-04T10:23:48.594,2026-06-04T10:23:48.594,2026-06-04,2026-06-01,2026-06,woods,1,0,1,"30평대 구입,사용중인데 작동되다가 수시로 꺼지던데 왜그런가요?","30평대 구입,사용중인데 작동되다가 수시로 꺼지던데 왜그런가요?",false,,false,false,false,0,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0046,741c8bf86b14c249,2026-06-04T14:24:14.412,2026-06-04T14:24:50.331,2026-06-04,2026-06-01,2026-06,laurastar,3,2,1,핸디스티머 스팀다리미 as 접수하려고 하는데 이쪽으로 영상 보내달라고 하셔서 영상 보내드립니다,https://talk.kakaocdn.net/dna/bH9czk/dJMca0gJj94/gKODokq1HftJT8DTGuxWFK/i_41eb3891b7d1.jpeg?credential=zf3biCPbmWRjbqf40YGePFLewdou7TIK&expires=1875158689&signature=asJgIjihPFTS%2FVLwDdHttqtBRDU%3D,true,smart-model-differences,false,false,true,0.6,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0047,8ebda7ddf7afca5e,2026-06-07T13:17:02.349,2026-06-07T13:17:02.349,2026-06-07,2026-06-01,2026-06,laurastar,1,0,1,as 관련문의,as 관련문의,false,,false,false,false,0,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0048,407a6e87b552ed2e,2026-06-07T18:17:32.295,2026-06-07T18:17:32.295,2026-06-07,2026-06-01,2026-06,laurastar,1,0,1,"안녕하세요
분당 AK 백화점 팝업 계획이 있을까요?","안녕하세요
분당 AK 백화점 팝업 계획이 있을까요?",false,,false,false,false,0,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0049,0a405e10e40adf0d,2026-06-08T19:17:18.394,2026-06-08T19:17:52.916,2026-06-08,2026-06-08,2026-06,laurastar,3,2,1,다리미판 분리방법 동영상,시스템 다리미판만 AS 보낼 때 어떻게 하나요?,true,as-board-only-packing,false,false,true,0.6,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0050,fb2c9e3ef8610a0c,2026-06-09T13:21:08.568,2026-06-09T13:42:00.921,2026-06-09,2026-06-08,2026-06,laurastar,4,2,2,문의,IGGI 사용 후 마개는 어떻게 보관하나요?,true,iggi-cap-storage,false,false,true,20.9,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0051,f9847578607a4f29,2026-06-09T14:39:18.102,2026-06-09T14:39:18.102,2026-06-09,2026-06-08,2026-06,woods,1,1,0,제습기 교환 문의 드려요,제습기 교환 문의 드려요,true,woods-저온제습기란-무엇인가요,false,true,true,0,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0052,93995dd5afdae455,2026-06-09T16:01:41.672,2026-06-09T16:01:41.672,2026-06-09,2026-06-08,2026-06,woods,1,1,0,https://talk.kakaocdn.net/dna/crR1eO/dJMcbeTz7qD/kkRWJoqixRBW02Y5JsmZFJ/i_2b7c82f04497.jpeg?credential=zf3biCPbmWRjbqf40YGePFLewdou7TIK&expires=1875596481&signature=TAbtKOtiP2f6UO8EHwE9QDTJEwM%3D,https://talk.kakaocdn.net/dna/crR1eO/dJMcbeTz7qD/kkRWJoqixRBW02Y5JsmZFJ/i_2b7c82f04497.jpeg?credential=zf3biCPbmWRjbqf40YGePFLewdou7TIK&expires=1875596481&signature=TAbtKOtiP2f6UO8EHwE9QDTJEwM%3D,true,woods-사용-모드별로-어떻게-다른가요,false,true,true,0,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0053,c336c0ecb6fd6203,2026-06-09T17:54:17.046,2026-06-09T17:54:17.046,2026-06-09,2026-06-08,2026-06,laurastar,1,0,1,입금자명 오예슬 입니다,입금자명 오예슬 입니다,false,,false,false,false,0,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0054,aa69ab34b7b33ce7,2026-06-10T09:23:50.379,2026-06-10T09:24:12.399,2026-06-10,2026-06-08,2026-06,woods,2,2,0,https://talk.kakaocdn.net/dna/bQk9qW/dJMca3LjXYW/YjX3N07FrLTHZaIkDVVxrM/i_667677553e72.jpg?credential=zf3biCPbmWRjbqf40YGePFLewdou7TIK&expires=1875658984&signature=%2FCwf1CAuZy%2BPAXY6GQOev22Otok%3D,SW22FW 사용 모드별로 어떻게 다른가요?,true,woods-사용-모드별로-어떻게-다른가요,false,false,true,0.4,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0055,26b02dd8d8a27acf,2026-06-10T11:34:35.566,2026-06-10T11:34:35.566,2026-06-10,2026-06-08,2026-06,laurastar,1,0,1,"어제 배송 받았는데
부품이 하나 없습니다","어제 배송 받았는데
부품이 하나 없습니다",false,,false,false,false,0,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0056,14f85a56694d0246,2026-06-10T13:37:54.049,2026-06-10T13:37:54.049,2026-06-10,2026-06-08,2026-06,laurastar,1,1,0,스팀이 안나와요,스팀이 안나와요,true,lift-no-steam-noisy-water-light,false,true,true,0,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0057,c57398d9ae399f2d,2026-06-11T09:28:34.219,2026-06-11T09:28:34.219,2026-06-11,2026-06-08,2026-06,woods,1,0,1,네이버q&a로 문의했었습니다 동영상 촬영해서 보내드려요,네이버q&a로 문의했었습니다 동영상 촬영해서 보내드려요,false,,false,false,false,0,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0058,12c41f028b85d631,2026-06-12T13:49:21.404,2026-06-12T13:49:21.404,2026-06-12,2026-06-08,2026-06,laurastar,1,1,0,스마트m 다리미 위에 뚜껑 구매,스마트m 다리미 위에 뚜껑 구매,true,smart-model-differences,false,true,true,0,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0059,c71d486205775e4e,2026-06-12T18:17:42.957,2026-06-12T18:17:42.957,2026-06-12,2026-06-08,2026-06,woods,1,1,0,안녕하세여,안녕하세여,true,base-greeting,false,true,true,0,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0060,188dfc43d7b79322,2026-06-12T22:57:23.061,2026-06-12T22:57:23.061,2026-06-12,2026-06-08,2026-06,woods,1,1,0,"제습기 문의드립니다 지난주 수요일에 배송왔을때 제품 모서리가 벌어져있어서 교환요청했고 오늘 배송이 다시 왔는데요
30분 지나면 작동이 꺼지네요
제습 불은 들어와있는데 팬이 안돌아갑니다
소리도 커서 제습량 2단계 팬 1단계로 해놨고
제습 중간 단계레
팬 1단계로 했는데 또 팬이 안돌아가네요","제습기 문의드립니다 지난주 수요일에 배송왔을때 제품 모서리가 벌어져있어서 교환요청했고 오늘 배송이 다시 왔는데요
30분 지나면 작동이 꺼지네요
제습 불은 들어와있는데 팬이 안돌아갑니다
소리도 커서 제습량 2단계 팬 1단계로 해놨고
제습 중간 단계레
팬 1단계로 했는데 또 팬이 안돌아가네요",true,woods-사용-모드별로-어떻게-다른가요,false,true,true,0,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0061,c0942263acf8a8a8,2026-06-13T11:38:53.082,2026-06-13T11:38:53.082,2026-06-13,2026-06-08,2026-06,laurastar,1,0,1,물 표시가 빨갛게 계속 깜빡입니다,물 표시가 빨갛게 계속 깜빡입니다,false,,false,false,false,0,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0062,b2c9ab4bf947b833,2026-06-13T18:58:23.078,2026-06-13T18:59:33.717,2026-06-13,2026-06-08,2026-06,laurastar,5,3,2,핸드스티머 이기 사용후 다시 쓸려고 하니까 뚜껑이 안열리네요 혹 열수있는 방법이 있나요???,사용 설명서,true,common-manual-video,false,false,true,1.2,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0063,6631afbc0b927246,2026-06-14T06:50:40.471,2026-06-14T06:50:40.471,2026-06-14,2026-06-08,2026-06,laurastar,1,1,0,이기 사용중인데 오랜만에 연결했더니 스팀분사가 안되요. 물통에 물을 좀 오래 놔둬서 그런지 물때같은게 뚜껑근처에보여요. 해결방법있을까요??,이기 사용중인데 오랜만에 연결했더니 스팀분사가 안되요. 물통에 물을 좀 오래 놔둬서 그런지 물때같은게 뚜껑근처에보여요. 해결방법있을까요??,true,iggi-parts-price,false,true,true,0,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0064,a63f3b9dcde49282,2026-06-14T17:22:29.087,2026-06-14T17:22:29.087,2026-06-14,2026-06-08,2026-06,woods,1,0,1,아직 물받이통에 제습을 안해서 물도없는데 램프색이 빨간색으로 뜨는데요 우즈 가정용이고 구입하고 첫 사용이예요,아직 물받이통에 제습을 안해서 물도없는데 램프색이 빨간색으로 뜨는데요 우즈 가정용이고 구입하고 첫 사용이예요,false,,false,false,false,0,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0065,5a4f300b9c6768f1,2026-06-15T12:53:54.341,2026-06-15T12:54:27.145,2026-06-15,2026-06-15,2026-06,laurastar,2,0,2,As어떻게 합니까,as진행하고 싶습니다,false,,false,false,false,0.5,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0066,4cfc8e1e0e0cf636,2026-06-17T09:48:24.958,2026-06-17T09:48:37.308,2026-06-17,2026-06-15,2026-06,laurastar,2,0,2,FAQ,나사가 안왔어요,false,,false,false,false,0.2,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0067,8ebda7ddf7afca5e,2026-06-17T23:06:47.864,2026-06-17T23:07:25.272,2026-06-17,2026-06-15,2026-06,laurastar,2,2,0,"안녕하세요
리와인더 불량 관련하여 AS 받았는데 집에서 사용해보니 똑같은 현상이 있습니다.
리와인더 코드 사용하는 방법이 따로 있는건가요??",빨간선까지 당기지 않았는데 락이 걸렸는지 코드가 안들어갑니다,true,smart-water-not-moving,false,false,true,0.6,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0068,629ec2d7c9814dbc,2026-06-18T08:59:33.056,2026-06-18T09:00:09.841,2026-06-18,2026-06-15,2026-06,aarke,6,5,1,안녕,고마워,false,,false,false,false,0.6,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
