브랜드키,브랜드명,출처,카테고리,FAQ_ID,버튼라벨,질문,현재URL,HTTP상태,자동검증OK,최종URL,페이지제목,gvcurate교체후보,후보HTTP상태,후보페이지제목,판정,권고
"litter-robot","리터로봇 (Litter-Robot)","faq","소모품 / 구매 / 설명서","litter-robot-카본필터는-어디에서-구매해나요","","카본필터는 어디에서 구매해나요?","https://www.curationa.com/product/%EB%A6%AC%ED%84%B0%EB%A1%9C%EB%B4%87-4-%EC%B9%B4%EB%B3%B8%ED%95%84%ED%84%B0-6p/937/category/159/display/1/","200","Y","https://www.curationa.com/product/%EB%A6%AC%ED%84%B0%EB%A1%9C%EB%B4%87-4-%EC%B9%B4%EB%B3%B8%ED%95%84%ED%84%B0-6p/937/category/159/display/1/","리터로봇 4 카본필터 6P","https://gvcurate.com/product/%EB%A6%AC%ED%84%B0%EB%A1%9C%EB%B4%87-4-%EC%B9%B4%EB%B3%B8%ED%95%84%ED%84%B0-6p/937/category/159/display/1/","200","리터로봇 4 카본필터 6P","구도메인교체권장","도메인 gvcurate 전환 권장"
"litter-robot","리터로봇 (Litter-Robot)","faq","소모품 / 구매 / 설명서","litter-robot-트랩매트는-어디에서-구매해나요","","트랩매트는 어디에서 구매해나요?","https://www.curationa.com/product/%EB%A6%AC%ED%84%B0%EB%A1%9C%EB%B4%87-4-%ED%8A%B8%EB%9E%A9%EB%A7%A4%ED%8A%B8/938/category/159/display/1/","200","Y","https://www.curationa.com/product/%EB%A6%AC%ED%84%B0%EB%A1%9C%EB%B4%87-4-%ED%8A%B8%EB%9E%A9%EB%A7%A4%ED%8A%B8/938/category/159/display/1/","리터로봇 4 트랩매트","https://gvcurate.com/product/%EB%A6%AC%ED%84%B0%EB%A1%9C%EB%B4%87-4-%ED%8A%B8%EB%9E%A9%EB%A7%A4%ED%8A%B8/938/category/159/display/1/","200","리터로봇 4 트랩매트","구도메인교체권장","도메인 gvcurate 전환 권장"
"litter-robot","리터로봇 (Litter-Robot)","faq","소모품 / 구매 / 설명서","litter-robot-카펫트레이는-어디에서-구매해나요","","카펫트레이는 어디에서 구매해나요?","https://www.curationa.com/product/%EB%A6%AC%ED%84%B0%EB%A1%9C%EB%B4%87-4-%EC%B9%B4%ED%8E%AB-%ED%8A%B8%EB%A0%88%EC%9D%B4/881/category/159/display/1/","200","Y","https://www.curationa.com/product/%EB%A6%AC%ED%84%B0%EB%A1%9C%EB%B4%87-4-%EC%B9%B4%ED%8E%AB-%ED%8A%B8%EB%A0%88%EC%9D%B4/881/category/159/display/1/","리터로봇 4 카펫 트레이","https://gvcurate.com/product/%EB%A6%AC%ED%84%B0%EB%A1%9C%EB%B4%87-4-%EC%B9%B4%ED%8E%AB-%ED%8A%B8%EB%A0%88%EC%9D%B4/881/category/159/display/1/","200","리터로봇 4 카펫 트레이","구도메인교체권장","도메인 gvcurate 전환 권장"
"litter-robot","리터로봇 (Litter-Robot)","faq","소모품 / 구매 / 설명서","litter-robot-계단은-어디에서-구매해나요","","계단은 어디에서 구매해나요?","https://www.curationa.com/product/search.html?banner_action=&keyword=%EA%B3%84%EB%8B%A8","200","Y","https://www.curationa.com/product/search.html?banner_action=&keyword=%EA%B3%84%EB%8B%A8","게이트비젼 공식몰 GVCU | 프리미엄 가전 공식수입원","https://gvcurate.com/product/search.html?banner_action=&keyword=%EA%B3%84%EB%8B%A8","200","게이트비젼 공식몰 GVCU | 프리미엄 가전 공식수입원","구도메인교체권장","도메인 gvcurate 전환 권장"
"litter-robot","리터로봇 (Litter-Robot)","faq","소모품 / 구매 / 설명서","litter-robot-글로브-라이너는-어디에서-구매해나요","","글로브 라이너는 어디에서 구매해나요?","https://smartstore.naver.com/litter-robot/products/12218988627","429","N","https://smartstore.naver.com/litter-robot/products/12218988627","[에러] 에러페이지 - 시스템오류","","","","자동검증제한","수정 필요"
"litter-robot","리터로봇 (Litter-Robot)","faq","소모품 / 구매 / 설명서","litter-robot-파워-서플라이는-어디에서-구매해나요","","파워 서플라이는 어디에서 구매해나요?","https://smartstore.naver.com/litter-robot/products/12200940264","429","N","https://smartstore.naver.com/litter-robot/products/12200940264","[에러] 에러페이지 - 시스템오류","","","","자동검증제한","수정 필요"
"litter-robot","리터로봇 (Litter-Robot)","faq","소모품 / 구매 / 설명서","litter-robot-필터-커버는-어디에서-구매해나요","","필터 커버는 어디에서 구매해나요?","https://smartstore.naver.com/litter-robot/products/12200945843","429","N","https://smartstore.naver.com/litter-robot/products/12200945843","[에러] 에러페이지 - 시스템오류","","","","자동검증제한","수정 필요"
"litter-robot","리터로봇 (Litter-Robot)","faq","소모품 / 구매 / 설명서","litter-robot-설명서를-추가로-받을수-있나요","","설명서를 추가로 받을수 있나요?","https://www.litter-robot.kr/support/litter-robot-4/#tab-manuals","200","Y","https://www.litter-robot.kr/support/litter-robot-4/","Litter-Robot 4 Support, Troubleshooting, and Solutions","","","","정상","유지 가능"
"litter-robot","리터로봇 (Litter-Robot)","faq","소모품 / 구매 / 설명서","litter-robot-offline-store-location","","리터로봇 오프라인 매장은 어디에 있나요?","https://www.litter-robot.kr/trialmember","200","Y","https://www.litter-robot.kr/trialmember","백화점체험센터","","","","정상","유지 가능"
"imetec","이메텍 (IMETEC)","faq","제품 사용/조절기","imetec-조절기-파란불빛이-깜빡거려요-깜빡거리는-모든-문의","","조절기 파란불빛이 깜빡거려요 / ""깜빡""거리는 모든 문의","https://www.gatevision.co.kr/front/customerservice","200","Y","https://www.gatevision.co.kr/front/customerservice","게이트비젼 주식회사","","","","정상","유지 가능"
"imetec","이메텍 (IMETEC)","faq","제품 사용/조절기","imetec-조절기-구매-문의","","조절기 구매 문의","https://gvcurate.com/product/이메텍-전기요-전용-조절기/891/","200","Y","https://gvcurate.com/product/%EC%9D%B4%EB%A9%94%ED%85%8D-%EC%A0%84%EA%B8%B0%EC%9A%94-%EC%A0%84%EC%9A%A9-%EC%A1%B0%EC%A0%88%EA%B8%B0/891/","이메텍 전기요 전용 조절기","","","","정상","유지 가능"
"woods","우즈 (WOODS)","guideButton","브랜드 가이드","","제품등록","우즈 주요 안내 - 제품등록","https://woods.co.kr/front/registuser","200","Y","https://woods.co.kr/front/registuser","우리는 사람과 기업이 공기 질을 제어할 수 있도록 돕고 있습니다.","","","","정상","유지 가능"
"aarke","아르케 (Aarke)","guideButton","브랜드 가이드","","제품등록","아르케 주요 안내 - 제품등록","https://aarke.co.kr/account?location=serialRegist","200","Y","https://www.aarke.co.kr/login","스웨덴 아이코닉 탄산수제조기 아르케","","","","정상","유지 가능"
"aarke","아르케 (Aarke)","guideButton","브랜드 가이드","","실린더 구매","아르케 주요 안내 - 실린더 구매","https://gvcurate.com/product/detail.html?product_no=764","200","Y","https://gvcurate.com/product/detail.html?product_no=764","[충전권/실린더 7월 말 예약배송]아르케 탄산수 제조기 카보네이터3 프로 전용 탄산 실린더 교환 가스충전 리필","","","","정상","유지 가능"
"imetec","이메텍 (IMETEC)","guideButton","브랜드 가이드","","조절기 구매","이메텍 주요 안내 - 조절기 구매","https://gvcurate.com/product/이메텍-전기요-전용-조절기/891/","200","Y","https://gvcurate.com/product/%EC%9D%B4%EB%A9%94%ED%85%8D-%EC%A0%84%EA%B8%B0%EC%9A%94-%EC%A0%84%EC%9A%A9-%EC%A1%B0%EC%A0%88%EA%B8%B0/891/","이메텍 전기요 전용 조절기","","","","정상","유지 가능"
